,Status of existing checking account,Duration in months,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Credit risk,Number of Accounts
762,less_than_0_dm,12,existing_credits_paid_back_till_now,radio_television,2214,less_than_100_dm,1_4_years,4,male_single,none,3,savings_agreement_life_insurance,24,none,own,1,unskilled_resident,1,none,yes,0,1
763,no_checking_account,21,critical_account,car_new,12680,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,unknown_or_no_property,30,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,1,2
764,no_checking_account,24,critical_account,car_new,2463,100_to_500_dm,4_7_years,4,male_married_widowed,none,3,savings_agreement_life_insurance,27,none,own,2,skilled_employee,1,yes,yes,0,1
765,0_to_200_dm,12,existing_credits_paid_back_till_now,radio_television,1155,less_than_100_dm,7_more_years,3,male_married_widowed,guarantor,3,real_estate,40,bank,own,2,unskilled_resident,1,none,yes,0,1
766,less_than_0_dm,30,existing_credits_paid_back_till_now,furniture_equipment,3108,less_than_100_dm,0_1_year,2,male_divorced_separated,none,4,savings_agreement_life_insurance,31,none,own,1,unskilled_resident,1,none,yes,1,2
767,no_checking_account,10,existing_credits_paid_back_till_now,car_used,2901,unknown_or_no_savings_account,0_1_year,1,female_divorced_separated_married,none,4,real_estate,31,none,rent,1,skilled_employee,1,none,yes,0,1
768,0_to_200_dm,12,critical_account,furniture_equipment,3617,less_than_100_dm,7_more_years,1,male_single,none,4,car_or_other,28,none,rent,3,skilled_employee,1,yes,yes,0,1
769,no_checking_account,12,critical_account,radio_television,1655,less_than_100_dm,7_more_years,2,male_single,none,4,real_estate,63,none,own,2,unskilled_resident,1,yes,yes,0,1
770,less_than_0_dm,24,existing_credits_paid_back_till_now,car_used,2812,unknown_or_no_savings_account,7_more_years,2,female_divorced_separated_married,none,4,real_estate,26,none,rent,1,skilled_employee,1,none,yes,0,1
771,less_than_0_dm,36,critical_account,education,8065,less_than_100_dm,1_4_years,3,female_divorced_separated_married,none,2,unknown_or_no_property,25,none,own,2,management_self_employed_highly_qualified,1,yes,yes,1,2
772,no_checking_account,21,critical_account,car_used,3275,less_than_100_dm,7_more_years,1,male_single,none,4,car_or_other,36,none,own,1,management_self_employed_highly_qualified,1,yes,yes,0,1
773,no_checking_account,24,critical_account,radio_television,2223,100_to_500_dm,7_more_years,4,male_single,none,4,savings_agreement_life_insurance,52,bank,own,2,skilled_employee,1,none,yes,0,1
774,greater_than_200_dm,12,critical_account,car_new,1480,500_to_1000_dm,unemployed,2,male_single,none,4,unknown_or_no_property,66,bank,for_free,3,unemployed_unskilled_non_resident,1,none,yes,0,1
775,less_than_0_dm,24,existing_credits_paid_back_till_now,car_new,1371,unknown_or_no_savings_account,1_4_years,4,female_divorced_separated_married,none,4,real_estate,25,none,rent,1,skilled_employee,1,none,yes,1,2
776,no_checking_account,36,critical_account,car_new,3535,less_than_100_dm,4_7_years,4,male_single,none,4,car_or_other,37,none,own,2,skilled_employee,1,yes,yes,0,1
777,less_than_0_dm,18,existing_credits_paid_back_till_now,radio_television,3509,less_than_100_dm,4_7_years,4,female_divorced_separated_married,guarantor,1,real_estate,25,none,own,1,skilled_employee,1,none,yes,0,1
778,no_checking_account,36,critical_account,car_used,5711,greater_than_1000_dm,7_more_years,4,male_single,none,2,car_or_other,38,none,own,2,management_self_employed_highly_qualified,1,yes,yes,0,1
779,0_to_200_dm,18,existing_credits_paid_back_till_now,repairs,3872,less_than_100_dm,unemployed,2,female_divorced_separated_married,none,4,car_or_other,67,none,own,1,skilled_employee,1,yes,yes,0,1
780,0_to_200_dm,39,critical_account,radio_television,4933,less_than_100_dm,4_7_years,2,male_single,guarantor,2,real_estate,25,none,own,2,skilled_employee,1,none,yes,1,2
781,no_checking_account,24,critical_account,car_new,1940,greater_than_1000_dm,7_more_years,4,male_single,none,4,real_estate,60,none,own,1,skilled_employee,1,yes,yes,0,1
782,0_to_200_dm,12,no_credits_taken,retraining,1410,less_than_100_dm,1_4_years,2,male_single,none,2,real_estate,31,none,own,1,unskilled_resident,1,yes,yes,0,1
783,0_to_200_dm,12,existing_credits_paid_back_till_now,car_new,836,100_to_500_dm,0_1_year,4,female_divorced_separated_married,none,2,savings_agreement_life_insurance,23,bank,own,1,unskilled_resident,1,none,yes,1,2
784,0_to_200_dm,20,existing_credits_paid_back_till_now,car_used,6468,unknown_or_no_savings_account,unemployed,1,male_divorced_separated,none,4,real_estate,60,none,own,1,management_self_employed_highly_qualified,1,yes,yes,0,1
785,0_to_200_dm,18,existing_credits_paid_back_till_now,business,1941,greater_than_1000_dm,1_4_years,4,male_single,none,2,savings_agreement_life_insurance,35,none,own,1,unskilled_resident,1,yes,yes,0,1
786,no_checking_account,22,existing_credits_paid_back_till_now,radio_television,2675,500_to_1000_dm,7_more_years,3,male_single,none,4,car_or_other,40,none,own,1,skilled_employee,1,none,yes,0,1
787,no_checking_account,48,critical_account,car_used,2751,unknown_or_no_savings_account,7_more_years,4,male_single,none,3,car_or_other,38,none,own,2,skilled_employee,2,yes,yes,0,1
788,0_to_200_dm,48,delay_in_past,education,6224,less_than_100_dm,7_more_years,4,male_single,none,4,unknown_or_no_property,50,none,for_free,1,skilled_employee,1,none,yes,1,2
789,less_than_0_dm,40,critical_account,education,5998,less_than_100_dm,1_4_years,4,male_single,none,3,unknown_or_no_property,27,bank,own,1,skilled_employee,1,yes,yes,1,2
790,0_to_200_dm,21,existing_credits_paid_back_till_now,business,1188,less_than_100_dm,7_more_years,2,female_divorced_separated_married,none,4,savings_agreement_life_insurance,39,none,own,1,skilled_employee,2,none,yes,1,2
791,no_checking_account,24,existing_credits_paid_back_till_now,car_used,6313,unknown_or_no_savings_account,7_more_years,3,male_single,none,4,car_or_other,41,none,own,1,management_self_employed_highly_qualified,2,yes,yes,0,1
792,no_checking_account,6,critical_account,furniture_equipment,1221,unknown_or_no_savings_account,1_4_years,1,male_married_widowed,none,2,savings_agreement_life_insurance,27,none,own,2,skilled_employee,1,none,yes,0,1
793,greater_than_200_dm,24,existing_credits_paid_back_till_now,furniture_equipment,2892,less_than_100_dm,7_more_years,3,male_divorced_separated,none,4,unknown_or_no_property,51,none,for_free,1,skilled_employee,1,none,yes,0,1
794,no_checking_account,24,existing_credits_paid_back_till_now,furniture_equipment,3062,500_to_1000_dm,7_more_years,4,male_single,none,3,unknown_or_no_property,32,none,rent,1,skilled_employee,1,yes,yes,0,1
795,no_checking_account,9,existing_credits_paid_back_till_now,furniture_equipment,2301,100_to_500_dm,0_1_year,2,female_divorced_separated_married,none,4,savings_agreement_life_insurance,22,none,rent,1,skilled_employee,1,none,yes,0,1
796,less_than_0_dm,18,existing_credits_paid_back_till_now,car_used,7511,unknown_or_no_savings_account,7_more_years,1,male_single,none,4,savings_agreement_life_insurance,51,none,for_free,1,skilled_employee,2,yes,yes,1,2
797,no_checking_account,12,critical_account,furniture_equipment,1258,less_than_100_dm,0_1_year,2,female_divorced_separated_married,none,4,savings_agreement_life_insurance,22,none,rent,2,unskilled_resident,1,none,yes,0,1
798,no_checking_account,24,delay_in_past,car_new,717,unknown_or_no_savings_account,7_more_years,4,male_married_widowed,none,4,car_or_other,54,none,own,2,skilled_employee,1,yes,yes,0,1
799,0_to_200_dm,9,existing_credits_paid_back_till_now,car_new,1549,unknown_or_no_savings_account,0_1_year,4,male_single,none,2,real_estate,35,none,own,1,unemployed_unskilled_non_resident,1,none,yes,0,1
800,no_checking_account,24,critical_account,education,1597,less_than_100_dm,7_more_years,4,male_single,none,4,unknown_or_no_property,54,none,for_free,2,skilled_employee,2,none,yes,0,1
801,0_to_200_dm,18,critical_account,radio_television,1795,less_than_100_dm,7_more_years,3,female_divorced_separated_married,guarantor,4,real_estate,48,bank,rent,2,unskilled_resident,1,yes,yes,0,1
802,less_than_0_dm,20,critical_account,furniture_equipment,4272,less_than_100_dm,7_more_years,1,female_divorced_separated_married,none,4,savings_agreement_life_insurance,24,none,own,2,skilled_employee,1,none,yes,0,1
803,no_checking_account,12,critical_account,radio_television,976,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,car_or_other,35,none,own,2,skilled_employee,1,none,yes,0,1
804,0_to_200_dm,12,existing_credits_paid_back_till_now,car_new,7472,unknown_or_no_savings_account,unemployed,1,female_divorced_separated_married,none,2,real_estate,24,none,rent,1,unemployed_unskilled_non_resident,1,none,yes,0,1
805,less_than_0_dm,36,existing_credits_paid_back_till_now,car_new,9271,less_than_100_dm,4_7_years,2,male_single,none,1,car_or_other,24,none,own,1,skilled_employee,1,yes,yes,1,2
806,0_to_200_dm,6,existing_credits_paid_back_till_now,radio_television,590,less_than_100_dm,0_1_year,3,male_married_widowed,none,3,real_estate,26,none,own,1,unskilled_resident,1,none,no,0,1
807,no_checking_account,12,critical_account,radio_television,930,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,real_estate,65,none,own,4,skilled_employee,1,none,yes,0,1
808,0_to_200_dm,42,all_credits_paid_back,car_used,9283,less_than_100_dm,unemployed,1,male_single,none,2,unknown_or_no_property,55,bank,for_free,1,management_self_employed_highly_qualified,1,yes,yes,0,1
809,0_to_200_dm,15,no_credits_taken,car_new,1778,less_than_100_dm,0_1_year,2,female_divorced_separated_married,none,1,real_estate,26,none,rent,2,unemployed_unskilled_non_resident,1,none,yes,1,2
810,0_to_200_dm,8,existing_credits_paid_back_till_now,business,907,less_than_100_dm,0_1_year,3,male_married_widowed,none,2,real_estate,26,none,own,1,skilled_employee,1,yes,yes,0,1
811,0_to_200_dm,6,existing_credits_paid_back_till_now,radio_television,484,less_than_100_dm,4_7_years,3,male_married_widowed,guarantor,3,real_estate,28,bank,own,1,unskilled_resident,1,none,yes,0,1
812,less_than_0_dm,36,critical_account,car_used,9629,less_than_100_dm,4_7_years,4,male_single,none,4,car_or_other,24,none,own,2,skilled_employee,1,yes,yes,1,2
813,less_than_0_dm,48,existing_credits_paid_back_till_now,domestic_appliances,3051,less_than_100_dm,1_4_years,3,male_single,none,4,car_or_other,54,none,own,1,skilled_employee,1,none,yes,1,2
814,less_than_0_dm,48,existing_credits_paid_back_till_now,car_new,3931,less_than_100_dm,4_7_years,4,male_single,none,4,unknown_or_no_property,46,none,for_free,1,skilled_employee,2,none,yes,1,2
815,0_to_200_dm,36,delay_in_past,car_new,7432,less_than_100_dm,1_4_years,2,female_divorced_separated_married,none,2,savings_agreement_life_insurance,54,none,rent,1,skilled_employee,1,none,yes,0,1
816,no_checking_account,6,existing_credits_paid_back_till_now,domestic_appliances,1338,500_to_1000_dm,1_4_years,1,male_divorced_separated,none,4,real_estate,62,none,own,1,skilled_employee,1,none,yes,0,1
817,no_checking_account,6,critical_account,radio_television,1554,less_than_100_dm,4_7_years,1,female_divorced_separated_married,none,2,car_or_other,24,none,rent,2,skilled_employee,1,yes,yes,0,1
818,less_than_0_dm,36,existing_credits_paid_back_till_now,others,15857,less_than_100_dm,unemployed,2,male_divorced_separated,co_applicant,3,car_or_other,43,none,own,1,management_self_employed_highly_qualified,1,none,yes,0,1
819,less_than_0_dm,18,existing_credits_paid_back_till_now,radio_television,1345,less_than_100_dm,1_4_years,4,male_married_widowed,none,3,real_estate,26,bank,own,1,skilled_employee,1,none,yes,1,2
820,no_checking_account,12,existing_credits_paid_back_till_now,car_new,1101,less_than_100_dm,1_4_years,3,male_married_widowed,none,2,real_estate,27,none,own,2,skilled_employee,1,yes,yes,0,1
821,greater_than_200_dm,12,existing_credits_paid_back_till_now,radio_television,3016,less_than_100_dm,1_4_years,3,male_married_widowed,none,1,car_or_other,24,none,own,1,skilled_employee,1,none,yes,0,1
822,less_than_0_dm,36,existing_credits_paid_back_till_now,furniture_equipment,2712,less_than_100_dm,7_more_years,2,male_single,none,2,savings_agreement_life_insurance,41,bank,own,1,skilled_employee,2,none,yes,1,2
823,less_than_0_dm,8,critical_account,car_new,731,less_than_100_dm,7_more_years,4,male_single,none,4,real_estate,47,none,own,2,unskilled_resident,1,none,yes,0,1
824,no_checking_account,18,critical_account,furniture_equipment,3780,less_than_100_dm,0_1_year,3,male_divorced_separated,none,2,car_or_other,35,none,own,2,management_self_employed_highly_qualified,1,yes,yes,0,1
825,less_than_0_dm,21,critical_account,car_new,1602,less_than_100_dm,7_more_years,4,male_married_widowed,none,3,car_or_other,30,none,own,2,skilled_employee,1,yes,yes,0,1
826,less_than_0_dm,18,critical_account,car_new,3966,less_than_100_dm,7_more_years,1,female_divorced_separated_married,none,4,real_estate,33,bank,rent,3,skilled_employee,1,yes,yes,1,2
827,no_checking_account,18,no_credits_taken,business,4165,less_than_100_dm,1_4_years,2,male_single,none,2,car_or_other,36,stores,own,2,skilled_employee,2,none,yes,1,2
828,less_than_0_dm,36,existing_credits_paid_back_till_now,car_used,8335,unknown_or_no_savings_account,7_more_years,3,male_single,none,4,unknown_or_no_property,47,none,for_free,1,skilled_employee,1,none,yes,1,2
829,0_to_200_dm,48,delay_in_past,business,6681,unknown_or_no_savings_account,1_4_years,4,male_single,none,4,unknown_or_no_property,38,none,for_free,1,skilled_employee,2,yes,yes,0,1
830,no_checking_account,24,delay_in_past,business,2375,500_to_1000_dm,1_4_years,4,male_single,none,2,car_or_other,44,none,own,2,skilled_employee,2,yes,yes,0,1
831,less_than_0_dm,18,existing_credits_paid_back_till_now,car_new,1216,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,3,car_or_other,23,none,rent,1,skilled_employee,1,yes,yes,1,2
832,less_than_0_dm,45,no_credits_taken,business,11816,less_than_100_dm,7_more_years,2,male_single,none,4,car_or_other,29,none,rent,2,skilled_employee,1,none,yes,1,2
833,0_to_200_dm,24,existing_credits_paid_back_till_now,radio_television,5084,unknown_or_no_savings_account,7_more_years,2,female_divorced_separated_married,none,4,car_or_other,42,none,own,1,skilled_employee,1,yes,yes,0,1
834,greater_than_200_dm,15,existing_credits_paid_back_till_now,radio_television,2327,less_than_100_dm,0_1_year,2,female_divorced_separated_married,none,3,real_estate,25,none,own,1,unskilled_resident,1,none,yes,1,2
835,less_than_0_dm,12,no_credits_taken,car_new,1082,less_than_100_dm,1_4_years,4,male_single,none,4,car_or_other,48,bank,own,2,skilled_employee,1,none,yes,1,2
836,no_checking_account,12,existing_credits_paid_back_till_now,radio_television,886,unknown_or_no_savings_account,1_4_years,4,female_divorced_separated_married,none,2,car_or_other,21,none,own,1,skilled_employee,1,none,yes,0,1
837,no_checking_account,4,existing_credits_paid_back_till_now,furniture_equipment,601,less_than_100_dm,0_1_year,1,female_divorced_separated_married,none,3,real_estate,23,none,rent,1,unskilled_resident,2,none,yes,0,1
838,less_than_0_dm,24,critical_account,car_used,2957,less_than_100_dm,7_more_years,4,male_single,none,4,savings_agreement_life_insurance,63,none,own,2,skilled_employee,1,yes,yes,0,1
839,no_checking_account,24,critical_account,radio_television,2611,less_than_100_dm,7_more_years,4,male_married_widowed,co_applicant,3,real_estate,46,none,own,2,skilled_employee,1,none,yes,0,1
840,less_than_0_dm,36,existing_credits_paid_back_till_now,furniture_equipment,5179,less_than_100_dm,4_7_years,4,male_single,none,2,savings_agreement_life_insurance,29,none,own,1,skilled_employee,1,none,yes,1,2
841,no_checking_account,21,delay_in_past,car_used,2993,less_than_100_dm,1_4_years,3,male_single,none,2,real_estate,28,stores,own,2,unskilled_resident,1,none,yes,0,1
842,no_checking_account,18,existing_credits_paid_back_till_now,repairs,1943,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,4,real_estate,23,none,own,1,skilled_employee,1,none,yes,1,2
843,no_checking_account,24,all_credits_paid_back,business,1559,less_than_100_dm,4_7_years,4,male_single,none,4,car_or_other,50,bank,own,1,skilled_employee,1,yes,yes,0,1
844,no_checking_account,18,existing_credits_paid_back_till_now,furniture_equipment,3422,less_than_100_dm,7_more_years,4,male_single,none,4,savings_agreement_life_insurance,47,bank,own,3,skilled_employee,2,yes,yes,0,1
845,0_to_200_dm,21,existing_credits_paid_back_till_now,furniture_equipment,3976,unknown_or_no_savings_account,4_7_years,2,male_single,none,3,car_or_other,35,none,own,1,skilled_employee,1,yes,yes,0,1
846,no_checking_account,18,existing_credits_paid_back_till_now,car_new,6761,unknown_or_no_savings_account,1_4_years,2,male_single,none,4,car_or_other,68,none,rent,2,skilled_employee,1,none,yes,1,2
847,no_checking_account,24,existing_credits_paid_back_till_now,car_new,1249,less_than_100_dm,0_1_year,4,male_married_widowed,none,2,real_estate,28,none,own,1,skilled_employee,1,none,yes,0,1
848,less_than_0_dm,9,existing_credits_paid_back_till_now,radio_television,1364,less_than_100_dm,4_7_years,3,male_single,none,4,real_estate,59,none,own,1,skilled_employee,1,none,yes,0,1
849,less_than_0_dm,12,existing_credits_paid_back_till_now,radio_television,709,less_than_100_dm,7_more_years,4,male_single,none,4,real_estate,57,stores,own,1,unskilled_resident,1,none,yes,1,2
850,less_than_0_dm,20,critical_account,car_new,2235,less_than_100_dm,1_4_years,4,male_married_widowed,guarantor,2,savings_agreement_life_insurance,33,bank,rent,2,skilled_employee,1,none,no,1,2
851,no_checking_account,24,critical_account,car_used,4042,unknown_or_no_savings_account,4_7_years,3,male_single,none,4,savings_agreement_life_insurance,43,none,own,2,skilled_employee,1,yes,yes,0,1
852,no_checking_account,15,critical_account,radio_television,1471,less_than_100_dm,1_4_years,4,male_single,none,4,unknown_or_no_property,35,none,for_free,2,skilled_employee,1,yes,yes,0,1
853,less_than_0_dm,18,all_credits_paid_back,car_new,1442,less_than_100_dm,4_7_years,4,male_single,none,4,unknown_or_no_property,32,none,for_free,2,unskilled_resident,2,none,yes,1,2
854,no_checking_account,36,delay_in_past,car_new,10875,less_than_100_dm,7_more_years,2,male_single,none,2,car_or_other,45,none,own,2,skilled_employee,2,yes,yes,0,1
855,no_checking_account,24,existing_credits_paid_back_till_now,car_new,1474,100_to_500_dm,0_1_year,4,male_married_widowed,none,3,real_estate,33,none,own,1,skilled_employee,1,yes,yes,0,1
856,no_checking_account,10,existing_credits_paid_back_till_now,retraining,894,unknown_or_no_savings_account,4_7_years,4,female_divorced_separated_married,none,3,savings_agreement_life_insurance,40,none,own,1,skilled_employee,1,yes,yes,0,1
857,no_checking_account,15,critical_account,furniture_equipment,3343,less_than_100_dm,1_4_years,4,male_single,none,2,unknown_or_no_property,28,none,for_free,1,skilled_employee,1,yes,yes,0,1
858,less_than_0_dm,15,existing_credits_paid_back_till_now,car_new,3959,less_than_100_dm,1_4_years,3,female_divorced_separated_married,none,2,savings_agreement_life_insurance,29,none,own,1,skilled_employee,1,yes,yes,1,2
859,no_checking_account,9,existing_credits_paid_back_till_now,car_new,3577,100_to_500_dm,1_4_years,1,male_single,guarantor,2,real_estate,26,none,rent,1,skilled_employee,2,none,no,0,1
860,no_checking_account,24,critical_account,car_used,5804,greater_than_1000_dm,1_4_years,4,male_single,none,2,real_estate,27,none,own,2,skilled_employee,1,none,yes,0,1
861,no_checking_account,18,delay_in_past,business,2169,less_than_100_dm,1_4_years,4,male_married_widowed,none,2,car_or_other,28,none,own,1,skilled_employee,1,yes,yes,1,2
862,less_than_0_dm,24,existing_credits_paid_back_till_now,radio_television,2439,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,4,real_estate,35,none,own,1,skilled_employee,1,yes,yes,1,2
863,no_checking_account,27,critical_account,furniture_equipment,4526,greater_than_1000_dm,0_1_year,4,male_single,none,2,real_estate,32,stores,own,2,unskilled_resident,2,yes,yes,0,1
864,no_checking_account,10,existing_credits_paid_back_till_now,furniture_equipment,2210,less_than_100_dm,1_4_years,2,male_single,none,2,real_estate,25,bank,rent,1,unskilled_resident,1,none,yes,1,2
865,no_checking_account,15,existing_credits_paid_back_till_now,furniture_equipment,2221,500_to_1000_dm,1_4_years,2,female_divorced_separated_married,none,4,car_or_other,20,none,rent,1,skilled_employee,1,none,yes,0,1
866,less_than_0_dm,18,existing_credits_paid_back_till_now,radio_television,2389,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,1,car_or_other,27,stores,own,1,skilled_employee,1,none,yes,0,1
867,no_checking_account,12,critical_account,furniture_equipment,3331,less_than_100_dm,7_more_years,2,male_single,none,4,savings_agreement_life_insurance,42,stores,own,1,skilled_employee,1,none,yes,0,1
868,no_checking_account,36,existing_credits_paid_back_till_now,business,7409,unknown_or_no_savings_account,7_more_years,3,male_single,none,2,savings_agreement_life_insurance,37,none,own,2,skilled_employee,1,none,yes,0,1
869,less_than_0_dm,12,existing_credits_paid_back_till_now,furniture_equipment,652,less_than_100_dm,7_more_years,4,female_divorced_separated_married,none,4,savings_agreement_life_insurance,24,none,rent,1,skilled_employee,1,none,yes,0,1
870,no_checking_account,36,delay_in_past,furniture_equipment,7678,500_to_1000_dm,4_7_years,2,female_divorced_separated_married,none,4,car_or_other,40,none,own,2,skilled_employee,1,yes,yes,0,1
871,greater_than_200_dm,6,critical_account,car_new,1343,less_than_100_dm,7_more_years,1,male_single,none,4,real_estate,46,none,own,2,skilled_employee,2,none,no,0,1
872,less_than_0_dm,24,critical_account,business,1382,100_to_500_dm,4_7_years,4,male_single,none,1,real_estate,26,none,own,2,skilled_employee,1,yes,yes,0,1
873,no_checking_account,15,existing_credits_paid_back_till_now,domestic_appliances,874,unknown_or_no_savings_account,0_1_year,4,female_divorced_separated_married,none,1,real_estate,24,none,own,1,skilled_employee,1,none,yes,0,1
874,less_than_0_dm,12,existing_credits_paid_back_till_now,furniture_equipment,3590,less_than_100_dm,1_4_years,2,male_single,co_applicant,2,savings_agreement_life_insurance,29,none,own,1,unskilled_resident,2,none,yes,0,1
875,0_to_200_dm,11,critical_account,car_new,1322,greater_than_1000_dm,1_4_years,4,female_divorced_separated_married,none,4,car_or_other,40,none,own,2,skilled_employee,1,none,yes,0,1
876,less_than_0_dm,18,all_credits_paid_back,radio_television,1940,less_than_100_dm,0_1_year,3,male_single,co_applicant,4,unknown_or_no_property,36,bank,for_free,1,management_self_employed_highly_qualified,1,yes,yes,0,1
877,no_checking_account,36,existing_credits_paid_back_till_now,radio_television,3595,less_than_100_dm,7_more_years,4,male_single,none,2,car_or_other,28,none,own,1,skilled_employee,1,none,yes,0,1
878,less_than_0_dm,9,existing_credits_paid_back_till_now,car_new,1422,less_than_100_dm,0_1_year,3,male_single,none,2,unknown_or_no_property,27,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,1,2
879,no_checking_account,30,critical_account,radio_television,6742,unknown_or_no_savings_account,4_7_years,2,male_single,none,3,savings_agreement_life_insurance,36,none,own,2,skilled_employee,1,none,yes,0,1
880,no_checking_account,24,existing_credits_paid_back_till_now,car_used,7814,less_than_100_dm,4_7_years,3,male_single,none,3,car_or_other,38,none,own,1,management_self_employed_highly_qualified,1,yes,yes,0,1
881,no_checking_account,24,existing_credits_paid_back_till_now,car_used,9277,unknown_or_no_savings_account,1_4_years,2,male_divorced_separated,none,4,unknown_or_no_property,48,none,for_free,1,skilled_employee,1,yes,yes,0,1
882,0_to_200_dm,30,critical_account,car_new,2181,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,real_estate,36,none,own,2,skilled_employee,1,none,yes,0,1
883,no_checking_account,18,critical_account,radio_television,1098,less_than_100_dm,unemployed,4,female_divorced_separated_married,none,4,car_or_other,65,none,own,2,unemployed_unskilled_non_resident,1,none,yes,0,1
884,0_to_200_dm,24,existing_credits_paid_back_till_now,furniture_equipment,4057,less_than_100_dm,4_7_years,3,male_divorced_separated,none,3,car_or_other,43,none,own,1,skilled_employee,1,yes,yes,1,2
885,less_than_0_dm,12,existing_credits_paid_back_till_now,education,795,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,4,savings_agreement_life_insurance,53,none,own,1,skilled_employee,1,none,yes,1,2
886,0_to_200_dm,24,critical_account,business,2825,unknown_or_no_savings_account,4_7_years,4,male_single,none,3,unknown_or_no_property,34,none,own,2,skilled_employee,2,yes,yes,0,1
887,0_to_200_dm,48,existing_credits_paid_back_till_now,business,15672,less_than_100_dm,1_4_years,2,male_single,none,2,car_or_other,23,none,own,1,skilled_employee,1,yes,yes,1,2
888,no_checking_account,36,critical_account,car_new,6614,less_than_100_dm,7_more_years,4,male_single,none,4,car_or_other,34,none,own,2,management_self_employed_highly_qualified,1,yes,yes,0,1
889,no_checking_account,28,all_credits_paid_back,car_used,7824,unknown_or_no_savings_account,0_1_year,3,male_single,guarantor,4,real_estate,40,bank,rent,2,skilled_employee,2,yes,yes,0,1
890,less_than_0_dm,27,critical_account,business,2442,less_than_100_dm,7_more_years,4,male_single,none,4,car_or_other,43,stores,own,4,management_self_employed_highly_qualified,2,yes,yes,0,1
891,no_checking_account,15,critical_account,radio_television,1829,less_than_100_dm,7_more_years,4,male_single,none,4,car_or_other,46,none,own,2,skilled_employee,1,yes,yes,0,1
892,less_than_0_dm,12,critical_account,car_new,2171,less_than_100_dm,1_4_years,4,male_single,none,4,savings_agreement_life_insurance,38,bank,own,2,unskilled_resident,1,none,no,0,1
893,0_to_200_dm,36,critical_account,car_used,5800,less_than_100_dm,1_4_years,3,male_single,none,4,car_or_other,34,none,own,2,skilled_employee,1,yes,yes,0,1
894,no_checking_account,18,critical_account,radio_television,1169,unknown_or_no_savings_account,1_4_years,4,male_single,none,3,savings_agreement_life_insurance,29,none,own,2,skilled_employee,1,yes,yes,0,1
895,no_checking_account,36,delay_in_past,car_used,8947,unknown_or_no_savings_account,4_7_years,3,male_single,none,2,car_or_other,31,stores,own,1,management_self_employed_highly_qualified,2,yes,yes,0,1
896,less_than_0_dm,21,existing_credits_paid_back_till_now,radio_television,2606,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,4,savings_agreement_life_insurance,28,none,rent,1,management_self_employed_highly_qualified,1,yes,yes,0,1
897,no_checking_account,12,critical_account,furniture_equipment,1592,greater_than_1000_dm,4_7_years,3,female_divorced_separated_married,none,2,savings_agreement_life_insurance,35,none,own,1,skilled_employee,1,none,no,0,1
898,no_checking_account,15,existing_credits_paid_back_till_now,furniture_equipment,2186,unknown_or_no_savings_account,4_7_years,1,female_divorced_separated_married,none,4,real_estate,33,bank,rent,1,unskilled_resident,1,none,yes,0,1
899,less_than_0_dm,18,existing_credits_paid_back_till_now,furniture_equipment,4153,less_than_100_dm,1_4_years,2,male_single,co_applicant,3,car_or_other,42,none,own,1,skilled_employee,1,none,yes,1,2
900,less_than_0_dm,16,critical_account,car_new,2625,less_than_100_dm,7_more_years,2,male_single,guarantor,4,savings_agreement_life_insurance,43,bank,rent,1,skilled_employee,1,yes,yes,1,2
901,no_checking_account,20,critical_account,car_new,3485,unknown_or_no_savings_account,0_1_year,2,male_divorced_separated,none,4,real_estate,44,none,own,2,skilled_employee,1,yes,yes,0,1
902,no_checking_account,36,critical_account,car_used,10477,unknown_or_no_savings_account,7_more_years,2,male_single,none,4,unknown_or_no_property,42,none,for_free,2,skilled_employee,1,none,yes,0,1
903,no_checking_account,15,existing_credits_paid_back_till_now,radio_television,1386,unknown_or_no_savings_account,1_4_years,4,male_married_widowed,none,2,real_estate,40,none,rent,1,skilled_employee,1,yes,yes,0,1
904,no_checking_account,24,existing_credits_paid_back_till_now,radio_television,1278,less_than_100_dm,7_more_years,4,male_single,none,1,real_estate,36,none,own,1,management_self_employed_highly_qualified,1,yes,yes,0,1
905,less_than_0_dm,12,existing_credits_paid_back_till_now,radio_television,1107,less_than_100_dm,1_4_years,2,male_single,none,2,real_estate,20,none,rent,1,management_self_employed_highly_qualified,2,yes,yes,0,1
906,less_than_0_dm,21,existing_credits_paid_back_till_now,car_new,3763,unknown_or_no_savings_account,4_7_years,2,male_single,co_applicant,2,real_estate,24,none,own,1,unskilled_resident,1,none,no,0,1
